X [mm],Y [mm],Z [mm],Heading [degrees],Filename,Grid X,Grid Y,Grid Z
0,0,0,-90,0_0.jpg,0,0,0
0,400,0,-90,0_40.jpg,0,1,0
0,800,0,-90,0_80.jpg,0,2,0
0,1200,0,-90,0_120.jpg,0,3,0
0,1600,0,-90,0_160.jpg,0,4,0
0,2000,0,-90,0_200.jpg,0,5,0
0,2400,0,-90,0_240.jpg,0,6,0
0,2800,0,-90,0_280.jpg,0,7,0
0,3200,0,-90,0_320.jpg,0,8,0
0,3600,0,-90,0_360.jpg,0,9,0
0,4000,0,-90,0_400.jpg,0,10,0
0,4400,0,-90,0_440.jpg,0,11,0
0,4800,0,-90,0_480.jpg,0,12,0
0,5200,0,-90,0_520.jpg,0,13,0
0,5600,0,-90,0_560.jpg,0,14,0
400,0,0,-90,40_0.jpg,1,0,0
400,400,0,-90,40_40.jpg,1,1,0
400,800,0,-90,40_80.jpg,1,2,0
400,1200,0,-90,40_120.jpg,1,3,0
400,1600,0,-90,40_160.jpg,1,4,0
400,2000,0,-90,40_200.jpg,1,5,0
400,2400,0,-90,40_240.jpg,1,6,0
400,2800,0,-90,40_280.jpg,1,7,0
400,3200,0,-90,40_320.jpg,1,8,0
400,3600,0,-90,40_360.jpg,1,9,0
400,4000,0,-90,40_400.jpg,1,10,0
400,4400,0,-90,40_440.jpg,1,11,0
400,4800,0,-90,40_480.jpg,1,12,0
400,5200,0,-90,40_520.jpg,1,13,0
400,5600,0,-90,40_560.jpg,1,14,0
800,0,0,-90,80_0.jpg,2,0,0
800,400,0,-90,80_40.jpg,2,1,0
800,800,0,-90,80_80.jpg,2,2,0
800,1200,0,-90,80_120.jpg,2,3,0
800,1600,0,-90,80_160.jpg,2,4,0
800,2000,0,-90,80_200.jpg,2,5,0
800,2400,0,-90,80_240.jpg,2,6,0
800,2800,0,-90,80_280.jpg,2,7,0
800,3200,0,-90,80_320.jpg,2,8,0
800,3600,0,-90,80_360.jpg,2,9,0
800,4000,0,-90,80_400.jpg,2,10,0
800,4400,0,-90,80_440.jpg,2,11,0
800,4800,0,-90,80_480.jpg,2,12,0
800,5200,0,-90,80_520.jpg,2,13,0
800,5600,0,-90,80_560.jpg,2,14,0
1200,0,0,-90,120_0.jpg,3,0,0
1200,400,0,-90,120_40.jpg,3,1,0
1200,800,0,-90,120_80.jpg,3,2,0
1200,1200,0,-90,120_120.jpg,3,3,0
1200,1600,0,-90,120_160.jpg,3,4,0
1200,2000,0,-90,120_200.jpg,3,5,0
1200,2400,0,-90,120_240.jpg,3,6,0
1200,2800,0,-90,120_280.jpg,3,7,0
1200,3200,0,-90,120_320.jpg,3,8,0
1200,3600,0,-90,120_360.jpg,3,9,0
1200,4000,0,-90,120_400.jpg,3,10,0
1200,4400,0,-90,120_440.jpg,3,11,0
1200,4800,0,-90,120_480.jpg,3,12,0
1200,5200,0,-90,120_520.jpg,3,13,0
1200,5600,0,-90,120_560.jpg,3,14,0
1600,0,0,-90,160_0.jpg,4,0,0
1600,400,0,-90,160_40.jpg,4,1,0
1600,800,0,-90,160_80.jpg,4,2,0
1600,1200,0,-90,160_120.jpg,4,3,0
1600,1600,0,-90,160_160.jpg,4,4,0
1600,2000,0,-90,160_200.jpg,4,5,0
1600,2400,0,-90,160_240.jpg,4,6,0
1600,2800,0,-90,160_280.jpg,4,7,0
1600,3200,0,-90,160_320.jpg,4,8,0
1600,3600,0,-90,160_360.jpg,4,9,0
1600,4000,0,-90,160_400.jpg,4,10,0
1600,4400,0,-90,160_440.jpg,4,11,0
1600,4800,0,-90,160_480.jpg,4,12,0
1600,5200,0,-90,160_520.jpg,4,13,0
1600,5600,0,-90,160_560.jpg,4,14,0
2000,0,0,-90,200_0.jpg,5,0,0
2000,400,0,-90,200_40.jpg,5,1,0
2000,800,0,-90,200_80.jpg,5,2,0
2000,1200,0,-90,200_120.jpg,5,3,0
2000,1600,0,-90,200_160.jpg,5,4,0
2000,2000,0,-90,200_200.jpg,5,5,0
2000,2400,0,-90,200_240.jpg,5,6,0
2000,2800,0,-90,200_280.jpg,5,7,0
2000,3200,0,-90,200_320.jpg,5,8,0
2000,3600,0,-90,200_360.jpg,5,9,0
2000,4000,0,-90,200_400.jpg,5,10,0
2000,4400,0,-90,200_440.jpg,5,11,0
2000,4800,0,-90,200_480.jpg,5,12,0
2000,5200,0,-90,200_520.jpg,5,13,0
2000,5600,0,-90,200_560.jpg,5,14,0
2400,0,0,-90,240_0.jpg,6,0,0
2400,400,0,-90,240_40.jpg,6,1,0
2400,800,0,-90,240_80.jpg,6,2,0
2400,1200,0,-90,240_120.jpg,6,3,0
2400,1600,0,-90,240_160.jpg,6,4,0
2400,2000,0,-90,240_200.jpg,6,5,0
2400,2400,0,-90,240_240.jpg,6,6,0
2400,2800,0,-90,240_280.jpg,6,7,0
2400,3200,0,-90,240_320.jpg,6,8,0
2400,3600,0,-90,240_360.jpg,6,9,0
2400,4000,0,-90,240_400.jpg,6,10,0
2400,4400,0,-90,240_440.jpg,6,11,0
2400,4800,0,-90,240_480.jpg,6,12,0
2400,5200,0,-90,240_520.jpg,6,13,0
2400,5600,0,-90,240_560.jpg,6,14,0
2800,0,0,-90,280_0.jpg,7,0,0
2800,400,0,-90,280_40.jpg,7,1,0
2800,800,0,-90,280_80.jpg,7,2,0
2800,1200,0,-90,280_120.jpg,7,3,0
